DOC_ID,MENU_ID
282,10
286,10
293,10
295,10
302,10
306,10
309,10
323,10
324,10
325,10
331,10
332,10
333,10
338,10
342,10
347,10
348,10
349,10
355,10
356,10
357,10
359,10
367,10
371,10
372,10
373,10
375,10
391,10
394,10
396,10
407,10
409,10
412,10
419,10
432,10
443,10
452,10
461,10
463,10
467,10
473,10
474,10
475,10
477,10
484,10
491,10
492,10
494,10
510,10
519,10
522,10
523,10
528,10
532,10
533,10
534,10
565,10
571,10
587,10
597,10
598,10
607,10
624,10
632,10
634,10
637,10
639,10
640,10
643,10
644,10
652,10
654,10
657,10
662,10
663,10
664,10
670,10
671,10
674,10
676,10
682,10
696,10
697,10
698,10
703,10
704,10
706,10
707,10
713,10
719,10
723,10
725,10
726,10
728,10
729,10
730,10
734,10
735,10
738,10
741,10
743,10
745,10
747,10
750,10
751,10
753,10
754,10
755,10
761,10
765,10
780,10
782,10
788,10
792,10
793,10
794,10
796,10
802,10
803,10
804,10
806,10
809,10
812,10
813,10
814,10
825,10
829,10
832,10
833,10
834,10
840,10
30,11
77,11
86,11
87,11
89,11
91,11
118,11
119,11
122,11
123,11
125,11
133,11
142,11
144,11
150,11
157,11
168,11
174,11
183,11
196,11
197,11
198,11
200,11
202,11
204,11
206,11
207,11
211,11
219,11
223,11
225,11
233,11
235,11
241,11
242,11
243,11
244,11
245,11
249,11
258,11
267,11
268,11
270,11
284,11
337,11
362,11
363,11
380,11
398,11
399,11
404,11
421,11
422,11
434,11
436,11
464,11
465,11
470,11
487,11
489,11
490,11
536,11
560,11
561,11
562,11
566,11
575,11
577,11
582,11
583,11
584,11
585,11
586,11
588,11
589,11
592,11
593,11
594,11
599,11
600,11
601,11
602,11
606,11
613,11
614,11
621,11
626,11
627,11
632,11
643,11
645,11
653,11
656,11
658,11
659,11
661,11
669,11
677,11
683,11
684,11
695,11
700,11
701,11
705,11
711,11
730,11
732,11
733,11
735,11
740,11
742,11
749,11
784,11
799,11
800,11
822,11
823,11
824,11
835,11
836,11
837,11
838,11
29,12
31,12
32,12
35,12
91,12
94,12
96,12
105,12
125,12
137,12
141,12
142,12
144,12
186,12
195,12
197,12
198,12
229,12
236,12
250,12
286,12
336,12
337,12
413,12
439,12
461,12
470,12
472,12
477,12
480,12
486,12
504,12
506,12
508,12
520,12
521,12
601,12
603,12
606,12
608,12
615,12
660,12
697,12
720,12
732,12
733,12
742,12
749,12
773,12
172,18
173,18
176,18
205,18
261,18
313,18
316,18
797,18
100,19
175,19
255,19
299,19
334,19
335,19
688,19
27,20
28,20
109,20
130,20
170,20
171,20
181,20
237,20
285,20
299,20
304,20
307,20
310,20
320,20
334,20
335,20
361,20
366,20
374,20
383,20
387,20
388,20
392,20
393,20
515,20
578,20
605,20
648,20
677,20
759,20
768,20
194,21
302,21
411,21
761,21
